sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
29,2,"[62, 77]",0.16666666666665278,17.14316326849979,12,0.22222222222219754,12.677972964438823,9,0.9999999999995,0.012730542837013668,2,0.9999999999995,0.012730542837013668,2
30,2,"[45, 62]",0.16666666666665278,13.181779299142828,12,0.22222222222219754,8.16906736612721,9,0.9999999999995,0.016922929233054426,2,0.9999999999995,0.016922929233054426,2
31,3,"[44, 47, 53]",0.16666666666665278,13.837217322046051,12,0.09999999999999,9.098123874824358,10,0.9999999999996666,0.017260552664506774,3,0.9999999999996666,0.017260552664506774,3
32,3,"[57, 66, 67]",0.24999999999997916,17.256550604112206,12,0.3333333333332963,10.937878849816403,9,0.9999999999996666,0.017095158930874738,3,0.9999999999996666,0.017095158930874738,3
33,6,"[36, 37, 40, 70, 77, 92]",0.24999999999997916,19.81860035337467,12,0.3333333333332963,12.168341025688152,9,0.9999999999998334,0.018318348714614317,6,0.5714285714284898,1.9153431611403409,7
34,3,"[45, 55, 89]",0.16666666666665278,17.81501505240917,12,0.22222222222219754,13.276385952709427,9,0.9999999999996666,0.017159329217655984,3,0.9999999999996666,0.017159329217655984,3
35,6,"[53, 75, 83, 84, 88, 96]",0.4999999999999583,11.049551265542883,12,0.3333333333332963,16.697835609060053,9,0.9999999999998334,0.013184522081105843,6,0.9999999999998334,0.013184522081105843,6
36,2,"[62, 69]",0.16666666666665278,15.1620581100492,12,0.22222222222219754,6.7887485036804245,9,0.9999999999995,0.01484409616568123,2,0.9999999999995,0.01484409616568123,2
37,5,"[51, 53, 60, 91, 94]",0.41666666666663194,9.654566722060395,12,0.29999999999997,12.34250057305999,10,0.9999999999997999,0.014145248333859401,5,0.9999999999997999,0.014145248333859401,5
38,5,"[54, 57, 68, 72, 81]",0.33333333333330556,20.678984547280713,12,0.5555555555554939,6.609874098769312,9,0.9999999999997999,0.01913609235969925,5,0.9999999999997999,0.01913609235969925,5
39,5,"[44, 45, 76, 79, 92]",0.33333333333330556,19.021646277830552,12,0.36363636363633056,14.175696982201668,11,0.9999999999997999,0.021293782305777907,5,0.9999999999997999,0.021293782305777907,5
40,3,"[67, 76, 86]",0.24999999999997916,18.97895487261609,12,0.3333333333332963,16.066858188574926,9,0.9999999999996666,0.02037205307480031,3,0.9999999999996666,0.02037205307480031,3
41,4,"[37, 38, 52, 59]",0.24999999999997916,26.73679798075392,12,0.22222222222219754,14.364441082360488,9,0.99999999999975,0.0251513951924541,4,0.99999999999975,0.0251513951924541,4
42,2,"[60, 68]",0.16666666666665278,15.378510202106488,12,0.18181818181816528,10.232843817621177,11,0.9999999999995,0.013625602137165675,2,0.9999999999995,0.013625602137165675,2
43,2,"[52, 61]",0.16666666666665278,13.150703814482823,12,0.22222222222219754,7.329250509545628,9,0.9999999999995,0.012659822581416104,2,0.9999999999995,0.012659822581416104,2
44,5,"[37, 44, 58, 74, 88]",0.24999999999997916,25.95974029296327,12,0.18181818181816528,10.816300650151073,11,0.9999999999997999,0.014040068487862878,5,0.9999999999997999,0.014040071574938818,5
45,4,"[40, 63, 80, 90]",0.33333333333330556,16.526307610407745,12,0.27272727272724795,15.60907145687946,11,0.99999999999975,0.017471860376428883,4,0.99999999999975,0.017471860376428883,4
46,5,"[39, 48, 66, 80, 91]",0.24999999999997916,17.88446078166717,12,0.29999999999997,13.05962183451745,10,0.9999999999997999,0.011353355674798593,5,0.4285714285713673,3.2798755238184123,7
47,3,"[53, 58, 62]",0.24999999999997916,5.128206756744409,12,0.29999999999997,3.7827321729443053,10,0.9999999999996666,0.009682643678196,3,0.9999999999996666,0.009682641271928706,3
48,6,"[42, 55, 60, 73, 76, 85]",0.33333333333330556,13.957863044058518,12,0.39999999999996,12.800799009623834,10,0.9999999999998334,0.011994258509053848,6,0.9999999999998334,0.011994258509053848,6
49,6,"[37, 40, 52, 66, 68, 69]",0.41666666666663194,16.625196219836567,12,0.45454545454541323,12.037676512738399,11,0.9999999999998334,0.021238405774920574,6,0.9999999999998334,0.021238427582988387,6
50,3,"[55, 83, 93]",0.24999999999997916,15.012610405472705,12,0.3333333333332963,18.564565292959227,9,0.9999999999996666,0.017365657816879796,3,0.9999999999996666,0.017365657816879796,3
51,2,"[71, 72]",0.16666666666665278,19.290090599560052,12,0.18181818181816528,11.808763102894797,11,0.9999999999995,0.011283300417407901,2,0.9999999999995,0.011283300417407901,2
52,5,"[38, 58, 64, 80, 89]",0.41666666666663194,14.184406429816553,12,0.3333333333332963,10.914567846128818,9,0.9999999999997999,0.013319979897483826,5,0.9999999999997999,0.013319979897483826,5
53,5,"[42, 54, 58, 61, 76]",0.41666666666663194,9.520035200271234,12,0.5555555555554939,3.1815419884918734,9,0.9999999999997999,0.015478665891950724,5,0.9999999999997999,0.015478679986304287,5
54,2,"[40, 45]",0.11111111111109877,18.206508823675794,9,0.22222222222219754,7.979696464449269,9,0.9999999999995,0.01290733474485538,2,0.9999999999995,0.01290733474485538,2
55,5,"[63, 71, 72, 76, 86]",0.33333333333330556,16.645018664100395,12,0.39999999999996,16.821662100546945,10,0.9999999999997999,0.01957453832697299,5,0.9999999999997999,0.01957453832697299,5
56,3,"[49, 72, 82]",0.24999999999997916,16.122313934882254,12,0.22222222222219754,14.109872337862507,9,0.9999999999996666,0.015017195722899859,3,0.9999999999996666,0.015017196993000956,3
57,2,"[51, 86]",0.16666666666665278,13.543710250674533,12,0.22222222222219754,14.500277322170122,9,0.9999999999995,0.014190706569099454,2,0.9999999999995,0.014190706569099454,2
58,2,"[74, 83]",0.16666666666665278,23.366901376476118,12,0.19999999999998,14.101136759069817,10,0.9999999999995,0.016883124109924617,2,0.9999999999995,0.016883124109924617,2
59,6,"[69, 74, 80, 84, 86, 92]",0.4999999999999583,12.864836681353744,12,0.49999999999995,17.64225263210913,10,0.9999999999998334,0.019393095023458547,6,0.9999999999998334,0.019393095023458547,6
60,6,"[46, 52, 59, 71, 80, 86]",0.41666666666663194,13.410026420079566,12,0.36363636363633056,18.666178175129694,11,0.9999999999998334,0.01933912387784509,6,0.9999999999998334,0.01933912387784509,6
61,5,"[38, 74, 84, 87, 93]",0.41666666666663194,13.393978051658937,12,0.29999999999997,19.071946368064594,10,0.9999999999997999,0.01836094277804569,5,0.9999999999997999,0.01836094277804569,5
62,2,"[44, 50]",0.16666666666665278,29.39280286071458,12,0.09999999999999,16.778748161214587,10,0.9999999999995,0.029205921471575382,2,0.9999999999995,0.029205921471575382,2
63,4,"[45, 48, 62, 80]",0.24999999999997916,18.9717073786175,12,0.22222222222219754,12.564635920634402,9,0.99999999999975,0.01739226583337502,4,0.99999999999975,0.017392263792790196,4
64,2,"[41, 79]",0.16666666666665278,17.044970038790826,12,0.49999999999975,13.65551112536806,2,0.9999999999995,0.019240974206091502,2,0.9999999999995,0.019240974206091502,2
65,3,"[40, 53, 86]",0.16666666666665278,13.53993027960951,12,0.18181818181816528,12.890352640047794,11,0.9999999999996666,0.012290890002609026,3,0.9999999999996666,0.012290890002609026,3
66,2,"[46, 76]",0.16666666666665278,17.259266361956296,12,0.22222222222219754,11.141106701439499,9,0.9999999999995,0.017269215270122252,2,0.9999999999995,0.017269215270122252,2
67,5,"[59, 65, 66, 91, 93]",0.41666666666663194,15.7532428534935,12,0.3333333333332963,12.550055071728073,9,0.9999999999997999,0.01163054132862294,5,0.9999999999997999,0.011630544578224065,5
68,6,"[37, 40, 46, 61, 73, 75]",0.24999999999997916,15.015740670093926,12,0.44444444444439507,7.554676863754403,9,0.9999999999998334,0.02154758917903512,6,0.9999999999998334,0.02154758917903512,6
